City,City_UID
Thành phố Hà Nội,1
Tỉnh Hà Giang,2
Tỉnh Cao Bằng,3
Tỉnh Bắc Kạn,4
Tỉnh Tuyên Quang,5
Tỉnh Lào Cai,6
Tỉnh Điện Biên,7
Tỉnh Lai Châu,8
Tỉnh Sơn La,9
Tỉnh Yên Bái,10
Tỉnh Hoà Bình,11
Tỉnh Thái Nguyên,12
Tỉnh Lạng Sơn,13
Tỉnh Quảng Ninh,14
Tỉnh Bắc Giang,15
Tỉnh Phú Thọ,16
Tỉnh Vĩnh Phúc,17
Tỉnh Bắc Ninh,18
Tỉnh Hải Dương,19
Thành phố Hải Phòng,20
Tỉnh Hưng Yên,21
Tỉnh Thái Bình,22
Tỉnh Hà Nam,23
Tỉnh Nam Định,24
Tỉnh Ninh Bình,25
Tỉnh Thanh Hóa,26
Tỉnh Nghệ An,27
Tỉnh Hà Tĩnh,28
Tỉnh Quảng Bình,29
Tỉnh Quảng Trị,30
Tỉnh Thừa Thiên Huế,31
Thành phố Đà Nẵng,32
Tỉnh Quảng Nam,33
Tỉnh Quảng Ngãi,34
Tỉnh Bình Định,35
Tỉnh Phú Yên,36
Tỉnh Khánh Hòa,37
Tỉnh Ninh Thuận,38
Tỉnh Bình Thuận,39
Tỉnh Kon Tum,40
Tỉnh Gia Lai,41
Tỉnh Đắk Lắk,42
Tỉnh Đắk Nông,43
Tỉnh Lâm Đồng,44
Tỉnh Bình Phước,45
Tỉnh Tây Ninh,46
Tỉnh Bình Dương,47
Tỉnh Đồng Nai,48
Tỉnh Bà Rịa - Vũng Tàu,49
Thành phố Hồ Chí Minh,50
Tỉnh Long An,51
Tỉnh Tiền Giang,52
Tỉnh Bến Tre,53
Tỉnh Trà Vinh,54
Tỉnh Vĩnh Long,55
Tỉnh Đồng Tháp,56
Tỉnh An Giang,57
Tỉnh Kiên Giang,58
Thành phố Cần Thơ,59
Tỉnh Hậu Giang,60
Tỉnh Sóc Trăng,61
Tỉnh Bạc Liêu,62
Tỉnh Cà Mau,63
